ID,Name,Weight,Value
000f5cb7,Damage Health Poison Recipe,0,20
0001afc0,A Dance in Fire v1,1,3
0001afdf,A Dance in Fire v2,1,50
0001afd4,A Dance in Fire v3,1,3
0001afc1,A Dance in Fire v4,1,4
0001b006,A Dance in Fire v5,1,30
0001b00d,A Dance in Fire v6,1,60
0001b00e,A Dance in Fire v7,1,60
0010596a,Dark Brotherhood Assassin's Note,0,0
0001acc9,Darkest Darkness,1,5
0200a83b,Darkfall Cave Note,0,0
0201860d,Darkfall Passage Note I,0,0
02018645,Darkfall Passage Note II,0,0
0001afc9,Daughter of the Niben,1,60
02003517,Dawnguard Orders - Hakar,0,0
02003521,Dawnguard Orders - Lynoit,0,0
0200350b,Dawnguard Orders - Saliah,1,0
00085fe2,Daynas Valen's Journal,1,5
00085fe3,Daynas Valen's Notes,1,5
0001afc7,De Rerum Dirennis,1,55
000a26f9,Spell Tome: Dead Thrall,1,1270
0403a4b2,Dearest Dinya,0,0
0001afdd,Death Blow of Abernanit,1,50
000ed040,Death of a Wanderer,1,12
0403661a,Deathbrand,1,22
0401bfe5,Declaration of War,0,0
000d55d9,Decree of Monument,1,5
000a26e7,Spell Tome: Detect Life,1,332
000a26ea,Spell Tome: Detect Undead,1,600
0201a3e7,Diary of Faire Agarwen,1,20
040192f0,Discovering Ruunvald Vol. I,1,5
04019578,Discovering Ruunvald Vol. II,1,5
0401957a,Discovering Ruunvald Vol. III,1,5
0401957c,Discovering Ruunvald Vol. IV,1,5
0001afe7,The Doors of Oblivion,1,50
04028265,The Doors of the Spirit,1,5
0001acf2,The Dowry,1,11
0001afca,The Dragon Break,1,14
00039f2a,Dragon Investigation: Current Status,0,0
000ef2c0,Dragon Language: Myth no More,1,14
000eddd5,The Dragon War,1,12
000d2b4e,Spell Tome: Dragonhide,1,1389
000a26f7,Spell Tome: Dread Zombie,1,630
000ed02f,A Dream of Sovngarde,1,8
0009de3d,The Dreamstride,1,5
000e2fc5,Dunmer of Skyrim,1,7
02006bb3,Dwarven Haul,0,0
00083168,Dwarves v1,1,10
00083169,Dwarves v2,1,10
0008316a,Dwarves v3,1,10
0001acea,Dwemer History and Culture,1,13
000e7f31,Dwemer Inquiries Vol I,1,6
000e7f33,Dwemer Inquiries Vol II,1,6
000e7f34,Dwemer Inquiries Vol III,1,6
000f6932,East Empire Connection,0,0
000a26e9,Spell Tome: Ebonyflesh,1,650
0003010b,Effects of the Elder Scrolls,1,25
000d0bf6,Eisa's Journal,1,5
000d1955,Eltrys' Note,0,0
0002f837,Enchanter's Primer,1,50
0008acd0,Endrast's Journal,1,5
000f4997,Spell Tome: Equilibrium,1,250
000c084b,Erj's Notes,1,5
0001b016,The Exodus,1,55
0008acd1,Expedition Manifest,1,5
000a26f8,Spell Tome: Expel Daedra,1,620
00083b38,An Explorer's Guide to Skyrim,1,8
0403b53e,Eydis's Journal,1,25
000f692f,Eyes Open,0,0
000f0422,Faded Diary,1,5
0005c846,Faendal's Fake Letter from Sven,0,0
000ed033,Fall from Glory,1,8
0001acf7,Fall of the Snow Prince,1,11
000e0d68,The Falmer: A Study,1,11
000a271d,Spell Tome: Fast Healing,1,94
0001b008,Father Of The Niben,1,65
00037f89,Father's Missive,0,0
000a2712,Spell Tome: Fear,1,80
000f5cc1,Fear Poison Recipe,0,20
0001aceb,Feyfolken I,1,12
0001acec,Feyfolken II,1,12
0001aced,Feyfolken III,1,12
0001b267,Final Lesson,1,14
0001afda,Fire and Darkness,1,50
000a2700,Spell Tome: Fire Rune,1,90
000a270c,Spell Tome: Fire Storm,1,1290
000a2706,Spell Tome: Fireball,1,345
000a26fd,Spell Tome: Firebolt,1,96
0001acd2,The Firmament,1,5
0403a2a0,First Letter from EEC,0,0
0001acd3,The Firsthold Revolt,1,7
00088fe2,Fisherman's Journal,1,5
04028267,The Five Far Stars,1,7
0001ad05,Five Songs of King Wulfharth,1,30
000a2703,Spell Tome: Flame Cloak,1,325
000a26fa,Spell Tome: Flame Thrall,1,1260
0009cd51,Spell Tome: Flames,1,50
000ed04e,Flight from the Thalmor,1,13
000bb3d3,For Shelly,0.5,0
0003e369,Forge Hammer and Anvil,1,14
000a4ce2,Forsworn Missive,0,0
00083b0b,Forsworn Note,0,0
000f33d2,Fort Neugrad Treasure Map,0,0
000f5cc7,Fortify Carry Weight Potion Recipe,0,20
00068b5a,The Four Totems of Volskygge,1,5
00072841,Fragment: On Artaeum (common),1,5
0001ad06,Fragment: On Artaeum (rare),1,20
000a2714,Spell Tome: Frenzy,1,330
0200f39c,Frenzy Poison Recipe,0,20
040177bd,Spell Tome: Frenzy Rune,1,310
0001accb,Frontier Conquest,1,5
000a2704,Spell Tome: Frost Cloak,1,340
000a2701,Spell Tome: Frost Rune,1,92
000a26fb,Spell Tome: Frost Thrall,1,000a26fb
000e8bdb,Frost's Identity Papers,0,0
0009cd52,Spell Tome: Frostbite,1,47
0009e2ac,Spell Tome: Fury,1,43
00015475,Gaius Maro's Schedule,0,0
0001accd,Galerion The Mystic,1,6
000ceda6,Gallus's Encoded Journal,1,5
0001afc4,A Game at Dinner,1,55
000e7a33,Geirmund's Epitaph,0,0
000ed02e,A Gentleman's Guide to Whiterun,1,3
000ed031,Ghosts in the Storm,1,13
0006deb6,Gissur's Note,0,0
0001ad07,Glories and Laments,1,25
0402ad41,Glover's Letter,0,0
0001acd5,Gods and Worship,1,5
0001b005,The Gold Ribbon of Merit,1,65
0004c6c8,Goldenglow Bill of Sale,0,250
000ad8de,Gorm's Letter,0,0
0003beb6,Gourmet's Writ of Passage,0,0
000dd643,Spell Tome: Grand Healing,1,680
04020a2f,Gratian's Journal,1,125
04020a44,Gratian's Letter,0,0
000ed047,Great Harbingers,1,6
000f456d,The Great War,1,6
000a2722,Spell Tome: Greater Ward,1,341
000e94df,Guard's Orders,0,0
04,The Guardian and the Traitor,2,20
000fde7b,Spell Tome: Guardian Circle,1,1220
0002f836,Guide to Better Thieving,1,60
0004811f,Habd's Death Letter,0,0
00048160,Habd's Journal,1,5
000e1647,Hajvarr's Journal,1,5
0001aff6,Hallgerd's Tale,1,25
0010b2cd,Hamelyn's Journal,1,75
04033154,Hand-written Note,0,0
0001ad08,Hanging Gardens,1,30
000babb4,Hargar's Journal,1,5
000a271a,Spell Tome: Harmony,1,1220
000ed603,Harvesting Frostbite Spider Venom,1,7
000f23ba,Hastily Scribbled Note,0,0
000f6933,Have Need of Cynric,0,0
000a2727,Spell Tome: Heal Other,1,300
0200e8d6,Spell Tome: Heal Undead,1,370
0009e2af,Spell Tome: Healing,1,50
000a271e,Spell Tome: Healing Hands,1,89
0001afd2,Heavy Armor Forging,1,70
0008ad99,Heddic's Volunruud Notes,1,5
030157a1,Heljarchen Hall Charter,0,0
0001afc8,Herbalist's Guide to Skyrim,1,55
000ed60c,Herbane's Bestiary: Automatons,1,14
000ed60b,Herbane's Bestiary: Hagravens,1,6
000d6f0b,Herbane's Bestiary: Ice Wraiths,1,7
000f98b4,Hired Thug's Missive,0,0
0403af1b,History of Raven Rock Vol. I,1,7
0403af1c,History of Raven Rock Vol. II,1,125
0403af1d,History of Raven Rock Vol. III,1,7
000fba57,Holdings of Jarl Gjalund,1,5
000ed030,The Holds of Skyrim,1,3
0001b26a,The Hope of the Redoran,1,5
000ed604,Horker Attacks,1,4
0001afec,Horror of Castle Xyr,1,55
04027e4f,The House of Troubles,1,7
0403a4dc,House Redoran's Reply,0,0
04028faf,Hrodulf's Journal,1,10
000f54d4,Hunter's Journal,1,5
0001afee,A Hypothetical Treachery,1,55
000a271c,Spell Tome: Hysteria,1,1240
0001b001,Ice and Chitin,1,50
000a26fe,Spell Tome: Ice Spike,1,96
000a2707,Spell Tome: Ice Storm,1,360
0010f7f3,Spell Tome: Icy Spear,1,725
000940dd,Idgrod's Note,0,0
04026ae7,Ildari's Journal,1,125
04027e4d,Ildari's Journal vol. I,1,5
04027e4e,Ildari's Journal vol. II,1,5
04027e4f,Ildari's Journal vol. III,1,5
0001aff1,Immortal Blood,1,4
0009020c,Imperial Condolences,0,0
00083aed,Imperial Letter,0,0
00039c8e,Imperial Missive,0,0
000eda90,Imperial Report on Saarthal,1,13
0001afe3,The Importance of Where,1,50
0001b00f,Incident at Necrom,1,60
0010f7f4,Spell Tome: Incinerate,1,710
000749b5,Incriminating Letter,0,0
000a2715,Spell Tome: Invisibility,1,625
000f5cb3,Invisibility Potion Recipe,0,30
00042396,Invitation to Elenwen's Reception,0,0
0001b245,Invocation of Azura,1,20
000a26e4,Spell Tome: Ironflesh,1,341
00064eb2,Isabelle's Letter,0,10
0005437d,J'datharr's Note,0,0
000f03e5,J'zhar's Journal,1,5
000f6844,Japhet's Journal,1,5
02014010,Jiub's Opus (Page 1),0,0
02014011,Jiub's Opus (Page 2),0,0
02014012,Jiub's Opus (Page 3),0,0
02014013,Jiub's Opus (Page 4),0,0
02014014,Jiub's Opus (Page 5),0,0
02014015,Jiub's Opus (Page 6),0,0
02014016,Jiub's Opus (Page 7),0,0
02014017,Jiub's Opus (Page 8),0,0
02014018,Jiub's Opus (Page 9),0,0
02014019,Jiub's Opus (Page 10),0,0
0001b002,Jornibret's Last Dance,1,50
000dc198,Journal,1,5
020188c8,Journal Fragment,0,0
00026d85,Journal of Drokt,1,5
0201a3e6,Journal of Mirtil Angoth,1,20
04018108,The Journal of Ralis Sedarys - Volume 19,1,5
0401810f,The Journal of Ralis Sedarys - Volume 20,1,5
04018110,The Journal of Ralis Sedarys - Volume 21,1,5
04018111,The Journal of Ralis Sedarys - Volume 22,1,5
040181cb,The Journal of Ralis Sedarys - Volume 23,1,5
000ba0be,Justiciar Execution Order,0,0
0003a06f,Karan's Journal,1,5
020146db,Katria's Journal,1,15
000973ac,The Keepers of the Razor,1,5
000edd35,Killing - Before You're Killed,1,3
0001afe5,King,1,50
000ae324,King Olaf's Verse,1,30
000a0322,A Kiss Sweet Mother,1,6
0001affa,The Knights of the Nine,1,70
000f6841,Kodlak's Journal,1,5
000ef53e,Kolb & the Dragon,1,2
000c36ef,Krag's Journal,1,5
000d07b2,Kyr's Bounty,0,0
000d0e4e,Kyr's Log,1,5
0301579f,Lakeview Manor Charter,0,0
00072840,The Last King of the Ayleids,1,5
0001afcf,Last Scabbard of Akrash,1,70
0001b021,Legend of Krately House,1,75
000c1771,The Legend of Red Eagle,1,5
0001afe2,The Legendary Sancre Tor,1,50
0001ad0a,The Legendary Scourge,1,30
0009e2ae,Spell Tome: Lesser Ward,1,45
0008accd,Letter,0,0
00023ee5,Letter from a Friend,0,0
000f6893,Letter from Christophe,0,0
000d91d1,Letter from Falk Firebeard,0,0
020126c5,Letter from Harkon,0,0
000249af,Letter from Quintus Navale,0,0
040365ff,Letter from Ralis Sedarys,0,0
04036600,Letter from Ralis Sedarys 2,0,0
04036601,Letter from Ralis Sedarys 3,0,0
04036602,Letter from Ralis Sedarys 4,0,0
000f6895,Letter from Sabjorn,0,0
0007d02f,Letter from Solitude,0,0
000cadec,Letter from the Steward,0,0
02006956,Letter from the Vampire,0,0
0005b49e,Letter of Credit,0,0
0001bff5,Letter of Inheritance,0,0
000e7f3c,Letter to Beem-Ja,0,0
00019fea,Letter to Golldir,0,0
000e7f3b,Letter to Salma,0,0
0403537c,Letter to Usha,1,10
0001acdc,Life of Uriel Septim VII,1,5
0001afd0,Light Armor Forging,1,70
000a26ff,Spell Tome: Lightning Bolt,1,95
000a2705,Spell Tome: Lightning Cloak,1,355
000a2702,Spell Tome: Lightning Rune,1,93
000a270e,Spell Tome: Lightning Storm,1,1400
0001afe8,Liminal Bridges,1,50
04028269,Lives of the Saints,1,5
0001b019,The Locked Room,1,75
000ed608,Lost Legends,1,11
00090213,Lu-ah's Journal,1,5
0001afcd,The Lunar Lorkhan,1,60
0402bac7,Lusty Argonian Maid Folio,1,25
0001acef,The Lusty Argonian Maid v1,1,14
000f699d,The Lusty Argonian Maid v2,1,14
000ed042,Lycanthropic Legends of Skyrim,1,20
000e82be,Lymdrenn Tenvannis' Journal,1,5
0001afe6,Mace Etiquette,1,50
000e2513,Madanach's Note,0,0
0007eb03,The Madmen of the Reach,1,7
0001acf0,The Madness of Pelagius,1,12
000a26e2,Spell Tome: Magelight,1,87
0001acf1,Magic from the Sky,1,12
0006be25,Maluril's Journal,1,5
00028adc,Malyn Varen's Grimoire,1,30
000d0968,Mani's Letter,0,0
0001afc5,Mannimarco King of Worms,1,55
000f689b,Many Thanks,0,0
000f68a7,Mara Smiles Upon You!,0,0
000d3e6b,Margret's Journal,1,5
000f1445,Markarth Home Decorating Guide,1,5
0001b26d,The Marksmanship Lesson,1,65
000dd646,Spell Tome: Mass Paralysis,1,1280
000b3236,Master Illusion Text,1,5
000b3237,Master Illusion Text,1,5
000b3238,Master Illusion Text,1,5
000b3239,Master Illusion Text,1,5
000a2719,Spell Tome: Mayhem,1,1250
000b716a,Medresi's Notes,1,5
000dd125,Merchant's Journal,1,5
040280c2,Merilar's Journal,1,5
000D30C8,Midden Incident Report,1,5
00055549,Miner's Journal,1,5
000f1ab3,A Minor Maze,1,8
0201957E,Minorne (book),1,5
020277f1,Mireli's Letter to Mother,0,0
0001afde,The Mirror,1,50
0001acd1,Mixed Unit Tactics,1,5
0001b26e,The Monomyth,1,8
000a270f,Spell Tome: Muffle,1,88
00094d8b,Museum Pamphlet,0,0
0001acd4,Mysterious Akavir,1,5
0003031f,Mysterious Note,0,0
0001afc3,Mystery of Talara v 1,1,3
0001b018,Mystery of Talara v 2,1,55
0001aff0,Mystery of Talara v3,1,55
0001b013,Mystery of Talara Part 4,1,60
0001acf5,Mystery of Talara v5,1,11
00086ef8,Mythic Dawn Commentaries 1,1,25
00086ef9,Mythic Dawn Commentaries 2,1,25
00086efa,Mythic Dawn Commentaries 3,1,25
00086efb,Mythic Dawn Commentaries 4,1,25
0001acb8,Myths of Sheogorath,1,2
00088fe8,Mzinchaleft Work Order,0,0
0001ad0e,N'Gasta! Kvata! Kvakis!,1,20
0402826a,Nchunak's Fire and Faith,1,20
00083b08,Necromancer's Letter,0,0
0200e8d5,Spell Tome: Necromantic Healing,1,115
000d672b,Nepos's Journal,1,5
0402826b,Nerevar at Red Mountain,1,30
0001ad0d,Nerevar Moon and Star,1,30
0001afe4,Night Falls on Sentinel,1,50
000e0d67,The Night Mother's Truth,1,25
0004d249,Night of Tears,1,5
000f68ac,The Nightingales Vol 1,1,500
000f68ad,The Nightingales Vol 2,1,500
000ed039,Nightingales: Fact or Fiction?,1,3
0010bedf,The Nirnroot Missive,1,250
000f692c,No Word Yet,0,0
000ed161,Nords Arise!,1,4
000e0d66,Nords of Skyrim,1,6
000d120c,Note,0,0
000bc6fd,Note from Agna,0,0
000f23e0,Note From Jaree-Ra,0,0
000f68a3,Note from Maven,0,0
00078621,Note to Rhorlak,0,0
000e163f,Note to Rodulf,0,0
0009793a,Note to the Authorities,0,0
000c3b1a,Note to Thomas,0,0
0200d070,Notes on Dimhollow Crypt Vol. 3,1,11
00063a0f,Notes On The Lunar Forge,1,55
000b6426,Notes on Yngol Barrow,1,5
000f68a6,Notice of Cost Increase,0,0
000ff207,Nystrom's Journal,1,150
0009e2a8,Spell Tome: Oakflesh,1,44
00037dea,The Oblivion Crisis,1,6
000ed607,Ode To The Tundrastriders,1,8
000ed035,Of Crossed Daggers,1,5
000b64b1,Of Fjori and Holgeir,1,6
00068253,Official Warning,0,0
0001a332,Oghma Infinium,1,2500
000eb090,Olaf and the Dragon,1,2
0008f741,Old Tome,1,5
0001ad0f,The Old Ways,1,30
0403a35f,On Apocrypha: Boneless Limbs,1,100
0403a360,On Apocrypha: Delving Pincers,1,100
0403a361,On Apocrypha: Gnashing Blades,1,100
0403a362,On Apocrypha: Prying Orbs,1,100
0001acf3,On Oblivion,1,10
000ed037,On Stepping Lightly,1,12
000eda8e,On the Great Collapse,1,12
0001af40,Opusculus Lamae Bal,1,14
0006dfac,Orders,0,0
0001aff9,Orsinium and the Orcs,1,70
000a2717,Spell Tome: Pacify,1,610
0001affe,Palla volume 1,1,3
0001acf4,Palla volume 2,1,10
000f5cb1,Paralysis Poison Recipe,0,50
000a26e8,Spell Tome: Paralyze,1,685
0003010a,Pension of the Ancestor Moth,1,8
000f68aa,Per Your Requests,0,0
000ed041,Physicalities of Werewolves,1,14
0001ad11,The Pig Children,1,20
000e7ef0,Pirate King of the Abecean,1,6
04020685,Spell Tome: Poison Rune,1,290
0402826e,The Poison Song Book I,1,3
0402826f,The Poison Song Book II,1,3
04028270,The Poison Song Book III,1,3
04028271,The Poison Song Book IV,1,3
04028273,The Poison Song Book VI,1,3
04028274,The Poison Song Book VII,1,3
0403a4b3,Posted Notice,0,0
0001ad12,The Posting of the Hunt,1,25
0009c8c0,Power of the Elements,1,5
0009c8c6,Power of the Elements,1,5
0009c8c1,Power of the Elements,1,5
0009c8c2,Power of the Elements,1,5
000f37d0,Power of the Elements,1,5
000e94f1,Prisoner's Plan,0,0
000d9399,Private Letter,0,0
000813b6,Promissory Note,0,0
0001b01b,Proper Lock Design,1,75
000557ec,Purchase Agreement,0,0
0001b022,Purloined Shadows,1,60
000f689e,Quite Pleased,0,0
000d0032,Ra'jirr's Note,0,0
0001b015,Racial Phylogeny,1,55
0006df94,Rahgot's Reply,0,0
0009e2aa,Spell Tome: Raise Zombie,1,49
040374d6,Raleth Eldri's Notes on Kagrumez,1,5
000a2713,Spell Tome: Rally,1,000a2713
000d3973,Ramati's Journal,1,5
0001afd3,The Ransom of Zarek,1,2
0001acd6,The Real Barenziah v1,1,5
0001acd7,The Real Barenziah v2,1,5
0001acd8,The Real Barenziah v3,1,5
0001acd9,The Real Barenziah v4,1,5
0001acda,The Real Barenziah v5,1,5
0001afcc,Reality & Other Falsehoods,1,60
000a26eb,Spell Tome: Reanimate Corpse,1,99
0001b000,The Rear Guard,1,50
0401da0f,Recipe - Exploding Flame Spider,0,0
0401da10,Recipe - Exploding Flame Spider 2x,0,0
04026d3f,Recipe - Exploding Frost Spider,0,0
04026d40,Recipe - Exploding Frost Spider 2x,0,0
0401da15,Recipe - Exploding Poison Spider,0,0
0401da16,Recipe - Exploding Poison Spider 2x,0,0
04026d55,Recipe - Exploding Shock Spider,0,0
04026d56,Recipe - Exploding Shock Spider 2x,0,0
0401da11,Recipe - Flame Cloaked Spider,0,0
0401da12,Recipe - Flame Cloaked Spider 2x,0,0
0401da41,Recipe - Frost Cloaked Spider,0,0
04026d42,Recipe - Frost Cloaked Spider 2x,0,0
0401da13,Recipe - Jumping Flame Spider,0,0
0401da14,Recipe - Jumping Flame Spider 2x,0,0
04026d43,Recipe - Jumping Frost Spider,0,0
04026d44,Recipe - Jumping Frost Spider 2x,0,0
0401da17,Recipe - Jumping Poison Spider,0,0
0401da18,Recipe - Jumping Poison Spider 2x,0,0
04026d59,Recipe - Jumping Shock Spider,0,0
04026d5a,Recipe - Jumping Shock Spider 2x,0,0
0401da1c,Recipe - Mind Control Spider,0,0
